10.104.50.1||||22|cpe:/o:cisco:ios
10.104.50.20||||22|cpe:/o:cisco:ios
10.104.50.21||||22|cpe:/o:cisco:ios
10.104.50.22||||22|cpe:/o:cisco:ios
10.104.50.23||||22|cpe:/o:cisco:ios
10.135.50.1||||22|cpe:/o:cisco:ios
10.135.50.20||||22|cpe:/o:cisco:ios
10.135.50.21||||22|cpe:/o:cisco:ios
10.135.50.22||||22|cpe:/o:cisco:ios
10.135.50.23||||22|cpe:/o:cisco:ios
10.135.50.24||||22|cpe:/o:cisco:ios
10.135.50.25||||22|cpe:/o:cisco:ios
10.135.50.26||||22|cpe:/o:cisco:ios
10.135.50.27||||22|cpe:/o:cisco:ios
10.137.10.10||||22|
10.137.10.10||||443||commonName=FWF40C3913012581/organizationName=Fortinet Ltd.|2026-02-04
10.137.10.10||||80|
10.137.10.1||||22|cpe:/o:cisco:ios
10.137.50.1||||22|cpe:/o:cisco:ios
10.137.50.20||||22|cpe:/o:cisco:ios
10.137.50.21||||22|cpe:/o:cisco:ios
10.137.50.22||||22|cpe:/o:cisco:ios
10.193.50.1||||22|cpe:/o:cisco:ios
10.193.50.26||||22|cpe:/o:cisco:ios
10.193.50.32||||22|cpe:/o:cisco:ios
10.193.50.33||||22|cpe:/o:cisco:ios
10.193.50.34||||22|cpe:/o:cisco:ios
10.193.50.35||||22|cpe:/o:cisco:ios
10.193.50.36||||22|cpe:/o:cisco:ios
10.193.50.37||||22|cpe:/o:cisco:ios
10.199.10.1||||22|cpe:/o:cisco:ios
10.199.15.1||||22|cpe:/o:cisco:ios
10.199.20.1||||22|cpe:/o:cisco:ios
10.199.25.1||||22|cpe:/o:cisco:ios
10.199.30.1||||22|cpe:/o:cisco:ios
10.199.35.1||||22|cpe:/o:cisco:ios
10.199.36.1||||22|cpe:/o:cisco:ios
10.199.37.1||||22|cpe:/o:cisco:ios
10.199.50.1||||22|cpe:/o:cisco:ios
10.199.50.20||||22|cpe:/o:cisco:ios
10.199.50.21||||22|cpe:/o:cisco:ios
10.199.50.22||||22|cpe:/o:cisco:ios
10.199.50.23||||22|cpe:/o:cisco:ios
10.199.50.24||||22|cpe:/o:cisco:ios
10.199.50.25||||22|cpe:/o:cisco:ios
10.199.50.26||||22|cpe:/o:cisco:ios
10.199.50.27||||22|cpe:/o:cisco:ios
10.199.50.28||||22|cpe:/o:cisco:ios
10.199.50.29||||22|cpe:/o:cisco:ios
10.200.10.58||||22|
10.200.10.58||||23|
10.200.10.58||||80|cpe:/h:hp:2530
10.200.50.20||||22|cpe:/o:cisco:ios
10.200.50.21||||22|cpe:/o:cisco:ios
10.211.50.1||||22|cpe:/o:cisco:ios
10.211.50.20||||22|cpe:/o:cisco:ios
10.211.50.22||||22|cpe:/o:cisco:ios
10.211.50.23||||22|cpe:/o:cisco:ios
10.211.50.24||||22|cpe:/o:cisco:ios
10.211.50.25||||22|cpe:/o:cisco:ios
10.211.50.28||||22|cpe:/o:cisco:ios
10.211.50.29||||22|cpe:/o:cisco:ios
10.211.50.30||||22|cpe:/o:cisco:ios
10.211.50.31||||22|cpe:/o:cisco:ios
10.211.50.33||||22|cpe:/o:cisco:ios
10.211.50.34||||22|cpe:/o:cisco:ios
10.211.50.35||||22|cpe:/o:cisco:ios
10.211.50.36||||22|cpe:/o:cisco:ios
10.211.50.40||||22|cpe:/o:cisco:ios
10.211.50.41||||22|cpe:/o:cisco:ios
10.211.50.42||||22|cpe:/o:cisco:ios
10.218.10.1||||22|cpe:/o:cisco:ios
10.218.15.1||||22|cpe:/o:cisco:ios
10.218.35.1||||22|cpe:/o:cisco:ios
10.218.50.1||||22|cpe:/o:cisco:ios
10.218.50.20||||22|cpe:/o:cisco:ios
10.218.50.21||||22|cpe:/o:cisco:ios
10.218.50.22||||22|cpe:/o:cisco:ios
10.218.50.23||||22|cpe:/o:cisco:ios
10.218.50.24||||22|cpe:/o:cisco:ios
10.25.10.10||||22|
10.25.10.10||||443||commonName=FWF40C3914006262/organizationName=Fortinet Ltd.|2025-07-07
10.25.10.10||||80|
10.25.10.1||||22|cpe:/o:cisco:ios
10.25.10.26||||22|cpe:/o:cisco:ios
10.25.10.28||||22|cpe:/o:cisco:ios
10.25.10.37||||22|cpe:/o:cisco:ios
10.25.15.1||||22|cpe:/o:cisco:ios
10.30.10.1||||22|cpe:/o:cisco:ios
10.30.15.1||||22|cpe:/o:cisco:ios
10.30.50.1||||22|cpe:/o:cisco:ios
10.30.50.20||||22|cpe:/o:cisco:ios
10.30.50.21||||22|cpe:/o:cisco:ios
10.31.50.20||||22|cpe:/o:cisco:ios
10.31.50.21||||22|cpe:/o:cisco:ios
10.32.10.10||||22|
10.32.10.10||||443||commonName=FWF40C3914004152/organizationName=Fortinet Ltd.|2025-06-16
10.32.10.254||||23|
10.32.10.254||||80|
10.33.10.10||||22|
10.33.10.10||||443||commonName=FWF40C3915001117/organizationName=Fortinet Ltd.|2025-05-28
10.33.10.230||||23|
10.33.10.230||||80|
10.33.50.20||||22|cpe:/o:cisco:ios
10.33.50.21||||22|cpe:/o:cisco:ios
10.33.50.22||||22|cpe:/o:cisco:ios
10.34.10.31|apce87981.athena15.dallasmetrocare.com|||23|
10.34.10.31|apce87981.athena15.dallasmetrocare.com|||80|
10.34.50.20||||22|cpe:/o:cisco:ios
10.34.50.21||||22|cpe:/o:cisco:ios
10.35.10.10||||22|
10.35.10.10||||443||commonName=FWF40C3914009436/organizationName=Fortinet Ltd.|2026-02-04
10.37.10.10||||22|
10.37.10.10||||443||commonName=FWF40C3914009597/organizationName=Fortinet Ltd.|2025-07-22
10.37.10.10||||80|
10.37.10.230||||23|
10.37.10.230||||80|
10.38.50.20||||22|cpe:/o:cisco:ios
10.38.50.21||||22|cpe:/o:cisco:ios
10.38.50.22||||22|cpe:/o:cisco:ios
10.38.50.23||||22|cpe:/o:cisco:ios
10.38.50.26||||22|cpe:/o:cisco:ios
10.38.50.27||||22|cpe:/o:cisco:ios
10.38.50.28||||22|cpe:/o:cisco:ios
10.38.50.29||||22|cpe:/o:cisco:ios
10.39.50.20||||22|cpe:/o:cisco:ios
10.39.50.21||||22|cpe:/o:cisco:ios
10.40.35.1||||22|cpe:/o:cisco:ios
10.40.50.1||||22|cpe:/o:cisco:ios
10.40.50.1||||443|cpe:/o:cisco:ios|commonName=10.40.50.1|2027-09-05
10.40.50.20||||22|cpe:/o:cisco:ios
10.42.100.1||||22|
10.42.100.2||||22|
10.42.100.3||||22|
10.42.100.4||||22|
10.42.100.4||||443|||
10.42.102.1||||22|
10.42.102.2||||22|
10.42.102.3||||22|
10.42.102.4||||22|
10.42.102.4||||443|||
10.42.103.1||||22|
10.42.103.3||||22|
10.42.20.1||00:00:0C:07:AC:14|Cisco Systems|22|
10.42.20.2||00:2A:6A:9F:66:01|Cisco Systems|22|
10.42.20.26||00:50:56:B4:29:16|VMware|22|
10.42.20.26||00:50:56:B4:29:16|VMware|443||commonName=linux.site/organizationName=SUSE Linux Web Server/stateOrProvinceName=unknown/countryName=XY|2017-11-11
10.42.20.26||00:50:56:B4:29:16|VMware|80|
10.42.20.3||00:2A:6A:96:65:BC|Cisco Systems|22|
10.42.20.46||00:50:56:B4:5F:77|VMware|22|
10.42.20.54||00:50:56:B4:3D:53|VMware|22|
10.42.20.54||00:50:56:B4:3D:53|VMware|443||commonName=default/organizationName=Citrix ANG/stateOrProvinceName=California/countryName=US|2030-07-10
10.42.20.54||00:50:56:B4:3D:53|VMware|80|
10.42.20.54||00:50:56:B4:69:36|VMware|22|
10.42.20.54||00:50:56:B4:69:36|VMware|443||commonName=default/organizationName=Citrix ANG/stateOrProvinceName=California/countryName=US|2030-07-10
10.42.20.54||00:50:56:B4:69:36|VMware|80|
10.42.20.55|netscaler2.athena15.dallasmetrocare.com|00:50:56:B4:4D:5A|VMware|22|
10.42.20.55|netscaler2.athena15.dallasmetrocare.com|00:50:56:B4:4D:5A|VMware|443||commonName=default/organizationName=Citrix ANG/stateOrProvinceName=California/countryName=US|2030-07-10
10.42.20.55|netscaler2.athena15.dallasmetrocare.com|00:50:56:B4:4D:5A|VMware|80|
10.42.20.55|netscaler2.athena15.dallasmetrocare.com|00:50:56:B4:5B:37|VMware|22|
10.42.20.55|netscaler2.athena15.dallasmetrocare.com|00:50:56:B4:5B:37|VMware|443||commonName=default/organizationName=Citrix ANG/stateOrProvinceName=California/countryName=US|2030-07-10
10.42.20.55|netscaler2.athena15.dallasmetrocare.com|00:50:56:B4:5B:37|VMware|80|
10.42.20.77||00:50:56:B4:1D:FF|VMware|22|
10.42.60.1||||22|
10.42.60.2||||22|
10.42.60.3||||22|
10.42.60.4||||22|
10.42.60.4||||443|||
10.42.61.3||||22|
10.42.61.4||||22|
10.42.61.4||||443|||
10.42.62.1||||22|
10.42.62.2||||22|
10.42.62.3||||22|
10.42.62.4||||22|
10.42.62.4||||443|||
10.42.63.3||||22|
10.42.63.4||||22|
10.42.63.4||||443|||
10.42.64.1||||22|
10.42.64.2||||22|
10.42.64.3||||22|
10.42.64.4||||22|
10.42.64.4||||443|||
10.42.65.3||||22|
10.42.65.4||||22|
10.42.65.4||||443|||
10.42.66.1||||22|
10.42.66.2||||22|
10.42.66.3||||22|
10.42.66.4||||22|
10.42.66.4||||443|||
10.42.68.1||||22|
10.42.68.2||||22|
10.42.68.3||||22|
10.42.68.4||||22|
10.42.68.4||||443|||
10.42.69.3||||22|
10.42.69.4||||22|
10.42.69.4||||443|||
10.42.70.1||||22|
10.42.70.2||||22|
10.42.70.3||||22|
10.42.70.4||||22|
10.42.70.4||||443|||
10.42.71.3||||22|
10.42.71.4||||22|
10.42.71.4||||443|||
10.42.72.1||||22|
10.42.72.2||||22|
10.42.72.3||||22|
10.42.72.4||||22|
10.42.72.4||||443|||
10.42.73.3||||22|
10.42.73.4||||22|
10.42.73.4||||443|||
10.42.74.1||||22|
10.42.74.2||||22|
10.42.74.3||||22|
10.42.74.4||||22|
10.42.74.4||||443|||
10.42.75.3||||22|
10.42.75.4||||22|
10.42.75.4||||443|||
10.42.76.1||||22|
10.42.76.2||||22|
10.42.76.3||||22|
10.42.76.4||||22|
10.42.76.4||||443|||
10.42.77.3||||22|
10.42.77.4||||22|
10.42.77.4||||443|||
10.42.80.1||||22|
10.42.80.2||||22|
10.42.80.3||||22|
10.42.80.4||||22|
10.42.80.4||||443|||
10.42.81.3||||22|
10.42.81.4||||22|
10.42.81.4||||443|||
10.42.84.1||||22|
10.42.84.2||||22|
10.42.84.3||||22|
10.42.84.4||||22|
10.42.84.4||||443|||
10.42.85.3||||22|
10.42.85.4||||22|
10.42.85.4||||443|||
10.42.86.1||||22|
10.42.86.2||||22|
10.42.86.3||||22|
10.42.86.4||||22|
10.42.86.4||||443|||
10.42.87.3||||22|
10.42.87.4||||22|
10.42.87.4||||443|||
10.42.88.1||||22|
10.42.88.2||||22|
10.42.88.3||||22|
10.42.88.4||||22|
10.42.88.4||||443|||
10.42.89.3||||22|
10.42.89.4||||22|
10.42.89.4||||443|||
10.42.90.1||||22|
10.42.90.2||||22|
10.42.90.3||||22|
10.42.90.4||||22|
10.42.90.4||||443|||
10.42.91.3||||22|
10.42.91.4||||22|
10.42.91.4||||443|||
10.42.92.1||||22|
10.42.92.2||||22|
10.42.92.3||||22|
10.42.92.4||||22|
10.42.92.4||||443|||
10.42.93.3||||22|
10.42.93.4||||22|
10.42.93.4||||443|||
10.42.94.1||||22|
10.42.94.2||||22|
10.42.94.3||||22|
10.42.94.4||||22|
10.42.94.4||||443|||
10.42.95.1||||22|
10.42.95.3||||22|
10.42.96.1||||22|
10.42.96.3||||22|
10.42.97.3||||22|
10.42.97.4||||22|
10.42.97.4||||443|||
10.42.98.1||||22|
10.42.98.2||||22|
10.42.98.3||||22|
10.42.98.4||||22|
10.42.98.4||||443|||
10.42.99.1||||22|
10.42.99.2||||22|
10.42.99.3||||22|
10.42.99.4||||22|
10.42.99.4||||443|||
10.43.35.1||||22|cpe:/o:cisco:ios
10.61.35.1||||22|cpe:/o:cisco:ios
192.168.100.10||||22|
192.168.100.10||||443||commonName=FWF40C3914001652/organizationName=Fortinet Ltd.|2025-06-27
192.168.100.1||||22|cpe:/o:cisco:ios
192.168.100.74||||23|
192.168.101.1||||22|cpe:/o:cisco:ios
192.168.102.10||||23|
192.168.102.10||||443||commonName=192.168.102.10/organizationName=Mitel Networks/stateOrProvinceName=ON/countryName=CA|2029-06-12
192.168.102.10||||80|
192.168.102.1||||22|cpe:/o:cisco:ios
192.168.103.1||||22|cpe:/o:cisco:ios
192.168.130.10||||22|
192.168.130.10||||443||commonName=FWF40C3914009853/organizationName=Fortinet Ltd.|2025-07-07
192.168.130.1||||22|cpe:/o:cisco:ios
192.168.132.1||||22|cpe:/o:cisco:ios
192.168.140.1||||22|cpe:/o:cisco:ios
192.168.142.1||||22|cpe:/o:cisco:ios
192.168.150.1||||22|cpe:/o:cisco:ios
192.168.151.1||||22|cpe:/o:cisco:ios
192.168.152.1||||22|cpe:/o:cisco:ios
192.168.175.1||||22|cpe:/o:cisco:ios
192.168.175.1||||443|cpe:/o:cisco:ios|commonName=IOS-Self-Signed-Certificate-1148197174|2020-01-01
192.168.175.5||||22|cpe:/o:cisco:ios
192.168.185.10||||22|
192.168.185.10||||443||commonName=FWF40C3915000472/organizationName=Fortinet Ltd.|2025-07-07
192.168.185.1||||22|cpe:/o:cisco:ios
192.168.185.8||||23|
192.168.186.10||||23|
192.168.186.10||||443||commonName=192.168.186.10/organizationName=Mitel Networks/stateOrProvinceName=ON/countryName=CA|2029-06-12
192.168.186.10||||80|
192.168.186.1||||22|cpe:/o:cisco:ios
192.168.200.1||||22|cpe:/o:cisco:ios
192.168.202.10||||23|
192.168.202.10||||443||commonName=192.168.202.10/organizationName=Mitel Networks/stateOrProvinceName=ON/countryName=CA|2029-06-12
192.168.202.10||||80|
192.168.202.1||||22|cpe:/o:cisco:ios
192.168.205.1||||22|cpe:/o:cisco:ios
192.168.207.1||||22|cpe:/o:cisco:ios
192.168.210.1||||22|cpe:/o:cisco:ios
192.168.214.1||||22|cpe:/o:cisco:ios
192.168.215.1||||22|cpe:/o:cisco:ios
192.168.217.1||||22|cpe:/o:cisco:ios
192.168.220.1||||22|cpe:/o:cisco:ios
192.168.222.1||||22|cpe:/o:cisco:ios
192.168.225.1||||22|cpe:/o:cisco:ios
192.168.227.1||||22|cpe:/o:cisco:ios
192.168.230.1||||22|cpe:/o:cisco:ios
192.168.232.1||||22|cpe:/o:cisco:ios
192.168.235.1||||22|cpe:/o:cisco:ios
192.168.237.1||||22|cpe:/o:cisco:ios
192.168.240.1||||22|cpe:/o:cisco:ios
192.168.242.1||||22|cpe:/o:cisco:ios
192.168.45.11||||22|cpe:/o:huawei:vrp
192.168.45.11||||23|cpe:/h:3com:4500
192.168.45.11||||80|cpe:/h:3com:5500g-ei
192.168.45.1||||22|cpe:/o:cisco:ios
192.168.45.16||||22|cpe:/o:huawei:vrp
192.168.45.16||||23|cpe:/h:3com:4500
192.168.45.16||||80|cpe:/h:3com:5500g-ei
192.168.45.51|wilmer-main-apc.athena15.dallasmetrocare.com|||22|cpe:/o:apc:aos
192.168.45.51|wilmer-main-apc.athena15.dallasmetrocare.com|||443|cpe:/o:apc:aos||
192.168.45.51|wilmer-main-apc.athena15.dallasmetrocare.com|||80|cpe:/o:apc:aos
192.168.45.55|wilmer-cb-apc.athena15.dallasmetrocare.com|||22|cpe:/o:apc:aos
192.168.45.55|wilmer-cb-apc.athena15.dallasmetrocare.com|||80|cpe:/o:apc:aos
192.168.45.56|wilmer-ca-apc.athena15.dallasmetrocare.com|||22|cpe:/o:apc:aos
192.168.45.56|wilmer-ca-apc.athena15.dallasmetrocare.com|||80|cpe:/o:apc:aos
192.168.45.6||||22|cpe:/o:huawei:vrp
192.168.45.6||||23|cpe:/h:3com:4500
192.168.45.6||||80|cpe:/h:3com:5500g-ei
192.168.90.1||||22|cpe:/o:cisco:ios
